"idBank";"Dernière mise à jour";"Autres regroupements";"﻿Base de l'indice";"Correction";"Activité";"Zone géographique";"Nature";"Puissance";"﻿﻿﻿﻿Indicateur";"﻿Unité";"Périodicité"
"010537865";"08/03/2019 08:45";"Sans objet";"2015";"Non corrigé";"35.11 - Production d'électricité";"France métropolitaine";"Indice";"0";"Indice de la production industrielle";"Sans objet";"Mensuelle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
